cluster,angle,major,minor,pixel,size,diameter,center_x,center_y,color_variance
2,0,0,0,1828,5197.49836432,81.34900399604503,718.2344916849015,50.411660940919035,70.17939875220854
3,0,0,0,2008,5709.28704352,85.26013157422271,949.2239528884462,75.04681663346614,29.77508591133473
6,0,0,0,21773,61906.52729012,280.75227269428706,1048.432352519175,432.5985480549304,2354.9647469126444
7,0,0,0,10126,28790.956475439998,191.46222686284392,1307.6967243729014,87.50605338731977,3539.883674597953
8,0,0,0,8335,23698.6591174,173.70685060029206,1474.5053281103778,88.06637211757648,5273.701736571702
9,0,0,0,1396,3969.20553424,71.08972814251034,1584.268243696275,85.78602893982807,15.071486995180663
10,0,0,0,10128,28796.64301632,191.48113391141248,1701.0896055094786,87.88085481832543,755.8700864323702
12,0,0,0,22544,64098.688799359996,285.6798651375662,2036.497728158268,193.92923072214336,1198.620571155922
13,0,0,0,18692,53146.41106448,260.130952076154,2286.999591183394,221.77093283757756,2042.472603161713
14,0,0,0,4362,12402.34565928,125.66287017599824,2363.1706434204493,118.55161160018339,1465.7939864962734
15,0,0,0,7293,20735.97131892,162.4864876897248,2454.887552392705,109.26034973262031,2554.070926086896
16,0,0,0,5604,15933.68754576,142.433848072415,2538.460663633119,74.8622851891506,1160.2773623956277
17,0,0,0,13225,37602.251569,218.80738942899214,910.6526782759925,206.4681455727788,1587.0102982765213
18,0,0,0,6826,19408.16402344,157.19809771543075,1796.7957978025195,104.54044758277175,430.75312944019134
20,0,0,0,10038,28540.74867672,190.62846023494936,328.57013006575016,189.7950973500697,2159.075100561282
21,0,0,0,3402,9672.80603688,110.97657029620542,226.78745655496763,89.48210376249264,595.4377816970409
22,0,0,0,4550,12936.880502,128.3423072905411,1075.2204390329669,119.35145956043955,592.9749835044076
23,0,0,0,1570,4463.9345908,75.39003943570886,657.5728914649682,66.97650840764331,109.97409428374377
24,0,0,0,2263,6434.321005719999,90.51205415856401,357.1584703490941,97.72806875828546,260.21989159115816
25,0,0,0,3148,8950.61534512,106.75334845858536,1470.7092106734435,122.24896435832275,199.8029369406606
26,0,0,0,3711,10551.37660284,115.90698832309143,208.62124413904607,121.60905297763405,29.86756771456109
27,0,0,0,2181,6201.17282964,88.85706764481311,2137.891308207244,107.81551976157725,228.61376260022317
28,0,0,0,2482,7056.99723208,94.79054775119111,1689.2041806607574,133.66837574536663,33.775035209187045
29,0,0,0,4735,13462.8855334,130.92546829157354,738.789210813094,204.55902935586062,1421.876137906734
30,0,0,0,6829,19416.69383476,157.2326378918571,624.3085745790013,252.31369377654121,1207.9320219230774
31,0,0,0,2330,6624.8201252,91.84216330292962,2230.692795965665,227.4075899570815,22.758652581554276
32,0,0,0,24549,69799.44603156,298.11309076924147,405.09874895107737,396.77661802924763,2862.8250947678634
33,0,0,0,2283,6491.18641452,90.91113922514951,750.2216223390276,139.41542961016205,25.122806229901297
34,0,0,0,8731,24824.59421164,177.7854185029348,2476.0658297560412,279.44434106058867,2389.720934313823
35,0,0,0,1641,4665.80679204,77.07586986676985,1773.4241152955515,194.02191968312005,35.60375077844138
36,0,0,0,4695,13349.1547158,130.37128392765194,1998.7460589137381,192.9526381682641,237.13600678672734
37,0,0,0,3442,9786.53685448,111.62708331373712,1573.4156569436375,249.99066240557812,135.06179231093094
38,0,0,0,2917,8293.81987348,102.76195521604832,2047.004601645526,162.47811621528967,19.579245892148787
39,0,0,0,18091,51437.60553004,255.9148167795976,1162.369773920734,354.7639530374219,2080.215105882216
40,0,0,0,3155,8970.5182382,106.87197274142666,608.0501334389858,180.8322567353407,26.478486240490657
42,0,0,0,1938,5510.25811272,83.7608412733113,2440.167189576883,176.03562569659442,180.57252857147424
