gauss.k,gauss.pos,hist.pos,max_grain_ratio,ncuts.compactness,ncuts.num_cuts,ncuts.sigma,ncuts.thresh,nlmeans.h,nlmeans.pos,nlmeans.search,nlmeans.temp,sav.poly,sav.pos,sav.window,file,runs,loss,m_time,sd_time
8,3,2,1.7000000000000002,0.4,9380,0.99,0.75213591,8,1,27,11,3,4,10,28-f-p-1_002_ncuts.pkl,100,1.0,4300.56135389328,853.2297206609559
12,1,3,6.9,0.1,9990,0.41000000000000003,0.38986383,26,4,34,15,1,2,39,17 1 650 cbs_05_ncuts.pkl,100,0.8758196721311475,4238.85516219616,907.610115242679
10,3,2,2.7,0.2,6420,1.58,0.15206899,6,1,27,11,4,4,10,17 0 nach 550_002_ncuts.pkl,100,0.9970845481049563,4144.922536008358,883.0432555915447
5,3,0,3.1,0.4,8270,1.25,0.33796188,15,0,32,17,3,2,14,17 0 nach 600 cbs_002_ncuts.pkl,100,0.9970588235294118,4219.883535311222,787.0908280908588
6,2,1,4.7,0.2,5400,0.9500000000000001,0.052253430000000003,27,3,32,15,7,4,34,17 3 nach 450 cbs_01_ncuts.pkl,100,0.9853801169590644,4156.2425236988065,817.2756208034078
11,1,4,3.0,0.1,8270,1.58,0.19778971,30,3,40,12,8,2,4,17 0 650 cbs 01_002_ncuts.pkl,100,0.9192307692307692,4252.62784112215,755.4813945857496
1,1,0,3.1,0.2,1660,1.76,0.7747342800000001,3,3,21,7,10,2,15,17-0-nach-500-cbs _004_ncuts.pkl,100,0.9964788732394366,4014.351454758644,777.9850905914633
1,2,4,2.3,0.1,1150,1.23,0.62433773,6,3,46,14,2,0,19,17 2 650 cbs_04_ncuts.pkl,100,0.8138297872340425,4073.3950406193735,771.160532091446
12,1,2,2.7,0.5,6070,0.33,0.8483327300000001,21,3,28,11,6,4,44,17 0 nach 450 cbs_003_ncuts.pkl,100,1.0,4166.784196991921,845.0269006503365
6,4,0,1.7000000000000002,0.4,6310,0.38,0.6719229600000001,11,2,27,17,4,0,4,28-e-l-0_003_ncuts.pkl,100,1.0,4216.069916865826,853.5549685154289
3,2,4,2.2,0.4,9400,1.58,0.75687068,14,1,40,9,9,3,9,17 2 nach 450 cbs_001_ncuts.pkl,100,0.9973118279569892,4031.9052786779403,780.9837745193374
10,1,3,5.1000000000000005,0.1,9470,0.35000000000000003,0.8331223500000001,23,4,34,11,7,2,9,34-b-p-1_ungefaehr_003_ncuts.pkl,100,1.0,4309.699624481201,843.9475840304822
11,0,3,5.6000000000000005,0.1,9850,1.09,0.10915733999999999,1,1,32,17,1,4,43,17 1 nach 450 cbs_ncuts.pkl,100,0.9855595667870036,3819.2660872650144,710.3698827334267
1,1,4,1.2,0.30000000000000004,7800,0.14,0.26213121,5,2,30,8,3,3,32,34-c-p-2_ungefaehr_001_ncuts.pkl,100,1.0,4218.5033873987195,815.4227233139741
8,2,3,3.2,0.4,20,1.6300000000000001,0.0778348,19,1,31,19,7,4,31,34-c-l-0_ungefaehr_002_ncuts.pkl,100,1.0,4198.884141452312,786.2959303435515
9,4,0,6.300000000000001,0.30000000000000004,5340,0.12,0.5611330600000001,6,3,22,16,10,0,7,17 2 nach 550_003_ncuts.pkl,100,0.9657534246575342,3995.3872708821295,779.5252987786505
8,2,3,6.7,0.1,7060,0.45,0.75843369,23,1,29,19,7,4,21,17 2 nach 600 cbs_004_ncuts.pkl,100,0.9613899613899614,3913.6638732981683,773.2263248793624
6,2,4,6.9,0.30000000000000004,5190,0.6,0.64374763,29,0,45,9,6,0,42,28-f-l-0_002_ncuts.pkl,100,1.0,4129.872490403653,852.3191743878419
9,2,0,2.4000000000000004,0.2,3610,1.82,0.047035030000000005,12,3,23,7,3,4,10,17-2-nach-500-cbs_002_ncuts.pkl,100,0.9668874172185431,4173.634665505886,800.0627012689595
7,0,1,2.9000000000000004,0.5,9320,0.16,0.7695814900000001,27,2,26,17,9,3,20,17 1 nach 550_002_ncuts.pkl,100,0.9890510948905109,4043.587089755535,718.032076784067
13,2,3,2.0,0.2,7500,0.66,0.6908500500000001,14,1,49,11,9,4,41,32-pre-hochaufloesung_004_ncuts.pkl,100,1.0,4117.704204413891,894.2235952985034
13,4,2,4.6,0.4,8660,0.49,0.72431396,14,1,49,18,4,0,31,32-pre-hochaufloesung_001_ncuts.pkl,100,1.0,4406.047594575882,848.7863496419075
15,2,4,2.4000000000000004,0.1,9980,1.02,0.65164529,22,0,50,19,2,0,46,17 3 nach 550_007_ncuts.pkl,100,0.9563758389261745,4239.175734856129,714.4884793141108
8,2,3,5.9,0.30000000000000004,1950,0.88,0.6903011000000001,22,1,28,12,7,4,25,17 3 nach 600 cbs_003_ncuts.pkl,100,0.9323671497584541,4280.448308401108,845.3941203532504
8,2,1,2.9000000000000004,0.1,3130,1.87,0.27068999,22,3,42,13,1,0,41,17-1-nach-500-cbs_002_ncuts.pkl,100,0.9966996699669967,4073.9024860858917,783.1863207064575
14,0,1,4.5,0.30000000000000004,30,0.19,0.6198769700000001,25,3,31,19,4,4,43,28-run1-c-CBS-p-1-50k_ncuts.pkl,100,1.0,4006.8531734991075,765.6713287127589
4,0,0,2.5,0.30000000000000004,6320,1.52,0.6427506900000001,2,3,39,12,4,2,35,17 1 nach 600 cbs_001_ncuts.pkl,100,0.9962546816479401,4067.4799670147895,832.9912094274262
7,0,4,1.8,0.5,2890,0.11,0.36191915,6,0,43,15,2,1,28,34-b-l-0_ungefaehr_003_ncuts.pkl,100,1.0,4021.3106205201148,760.1044891188513
9,3,2,6.7,0.5,4890,0.8400000000000001,0.9767404100000001,26,4,41,16,5,1,49,28-e-p-1_002_ncuts.pkl,100,1.0,4109.473054096698,866.745253270911
3,1,0,1.7000000000000002,0.1,8790,1.47,0.9206911200000001,4,2,42,13,3,3,42,17 3 650 cbs_11_ncuts.pkl,100,0.7988826815642458,4238.248389306068,777.8586334288143
2,1,3,6.7,0.4,3120,1.1600000000000001,0.67614238,30,4,42,12,8,2,26,17-3-nach-500-cbs_006_ncuts.pkl,100,1.0,4217.189776179791,784.0498095895329
